,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
10,RegisterNatives,-0.15417503,0.6856716,0.45056492,-0.2422851,0.37822723,-0.8357555,-0.404234,-0.62046576,-0.71187556,-0.121247515,-0.5390037,0.069333866,1.6049746,-0.24919318,-0.69613487,0.36770386,-0.19886352,0.40214118,0.03408045,0.7237326,1.8049064,-0.47395846,-0.025339259,-0.7192959,0.1721952,-0.21211526,-0.43483713,-0.13860951,-0.42887068,-0.119769074,-0.3347742,-0.23722649,-0.13864906,-0.6152743,-0.64348555,-0.63112164,-0.10735057,-0.13652137,-0.9959529,-0.9197374,-0.46772292,-0.5157637,-0.44600984,-0.14857747,1.6296283,1.0432596,-0.65630764,2.099683,-0.6029937,0.8884019,2.9313626,1.3978816,0.5158945,-0.5606844,-0.14677961,-0.4287414,0.5951299,-0.25643927,-0.4853555,-0.259111,1.212263,0.4727089,0.0853091,-0.33195162,-0.4371516,0.6795427,-0.3981919,-0.7451309,-0.41253793,-1.026441,-0.39088246,-0.92279243,-0.52937704,1.08076,0.41858774,-0.8847602,1.9627191,-0.8637497,-0.7792337,0.3344434,2.1127188,-0.39507467,-0.45578197,-0.15597019,0.09367399,-0.1772585,-0.44728193,0.82012665,0.5148374,0.19086549,-0.18620037,0.29805663,-0.7098797,0.25538674,2.0107677,-0.51101357,1.0640128,0.8035467,-0.09062778,-1.02737
11,compiler.codegen.Test6879902,0.026931047,0.12326032,0.9909387,-0.29766062,-0.19303864,-0.70161325,-0.029104544,-0.22619464,-0.38639617,-0.061136056,-0.4909254,-0.776612,0.46862164,-0.21742757,-0.419387,1.8165472,-0.5933975,0.025512617,-0.34739786,0.83271164,2.345149,-0.44198826,-1.0779984,-0.71692204,0.36731526,-0.47425574,-0.43774146,1.6205355,-0.5619169,-0.605859,-0.32625487,-0.73744285,-0.0012844416,0.23665941,-0.5479294,-0.4650982,0.03833652,-0.4117089,-0.4453746,-0.5828183,-0.49537158,-0.19399782,-0.2539148,1.2415771,1.0192418,0.48284322,-0.6828284,1.7401398,-0.15074869,-0.027339617,0.46158418,1.1818789,0.6617472,-0.21283461,-0.3032134,-0.8492795,-0.3443242,-0.42077664,-0.23331076,0.10791605,0.06796434,-0.25840622,0.1673097,-0.630336,-0.4507475,-0.29870114,-0.5741521,-0.07877258,-0.4022569,-0.42918137,1.9451784,-0.59348375,-0.40033847,0.7006576,1.8004555,0.52972126,0.31372088,-0.67052305,-0.4576656,0.51122093,0.2929945,-0.37154093,-0.5398796,-0.6480678,-0.42633787,-0.5765418,-0.29385012,0.5345942,-0.5672326,-0.12045814,-0.5610057,0.9752855,0.978197,1.7524481,1.5693189,-0.42485395,0.2971487,1.1353964,0.7240781,-0.60659206
12,compiler.aot.SharedUsageTest,0.35324237,0.45425054,0.28067946,-0.4013154,0.5091086,-0.7965171,-0.5637143,-0.44378114,-0.42524832,-0.015905295,-0.44876313,0.19200471,0.74320513,-0.23613198,-0.4994912,0.39649004,-0.14045353,0.12995915,-0.040543847,1.0408131,1.1109357,-0.45935985,-0.3381844,-0.6972551,0.3099142,-0.32041436,-0.43277752,0.546227,-0.40739772,-0.13436383,-0.29005143,-0.62135434,0.0039123185,-0.34642896,-0.6309241,-0.5865608,-0.13487475,-0.32531452,-0.6674976,-0.6591385,-0.4399656,-0.20708917,-0.3591411,0.021846209,2.2629411,0.55783945,-0.5954574,2.7205877,-0.48808658,0.4710391,0.7048549,2.2492461,0.18140997,-0.41561258,-0.20743783,-0.16155887,0.68856907,-0.18247327,-0.27704012,0.013615653,0.8471601,-0.036320508,0.25657305,-0.25164047,-0.38952762,-0.05481847,-0.6632576,-0.49726072,-0.45705584,-0.7608159,0.2757071,-0.6188478,-0.41188586,1.5472957,1.1034107,-0.4388381,1.8049147,-0.6702298,-0.61607677,0.12327127,1.1731834,-0.41628447,-0.47885326,-0.46757254,-0.4255335,-0.051991545,-0.34172034,1.2793529,-0.1470913,0.5211498,-0.2738044,0.419914,-0.231265,1.0118567,1.4867218,-0.44421014,0.7679338,1.3297611,0.34257683,-0.7755174
13,jit.FloatingPoint.gen_math.Matrix_3d.Matrix_3d,1.2172858,0.42112285,1.5063819,-0.20789663,-0.55955315,-0.8445212,-0.7390525,-0.4069667,-0.42244497,-0.046758834,-0.54324794,-0.8889055,0.6556736,-0.14507633,-0.69999015,1.6951325,-0.45300448,1.1600134,-0.34334943,0.7010949,2.845762,-0.41012338,-1.0272764,-0.6437465,0.22253352,-0.7094237,-0.3842794,0.00434376,-0.44038785,-0.66011566,-0.009650945,-0.67840093,0.11395912,0.43166906,-0.3469013,-0.444432,0.12366093,-0.08600181,-0.96195376,-0.671656,-0.5560889,-0.29374692,-0.35718182,2.647133,1.1790563,1.4965483,-0.562602,0.30217415,-0.51034874,0.17780353,2.2004008,1.6399283,0.7360589,-0.19219394,-0.5449596,-0.9192873,-0.7690041,0.008928896,-0.38365692,0.60361975,-0.099771515,-0.23704964,0.37631878,-0.5324839,-0.31957883,-0.44622183,-0.7186234,-0.39775917,-0.45951775,-0.60173553,0.841316,-0.80699676,-0.39541414,1.005823,1.3230627,-0.34828627,0.074847385,-0.36925852,-0.42094317,0.4165853,0.503905,-0.3639983,-0.60033286,-0.7727335,-0.8196496,-0.8131621,-0.41272128,0.77786255,-0.4559175,0.87359947,-0.6682037,0.9214467,0.067585185,1.6560205,1.10121,-0.42681834,0.21905847,1.77454,0.0436429,-0.8471969
14,compiler.runtime.Test6863420,0.8476502,0.5327133,0.7132311,-0.18783812,0.02402971,-0.6371203,-0.62419176,-0.41411096,-0.3918417,-0.11130741,-0.47723407,-0.48509616,1.1375494,-0.116070956,-0.52582407,0.544899,-0.102624446,0.88679475,-0.09158345,0.7055729,1.5943358,-0.4460425,-0.6183808,-0.6869306,0.633876,-0.47619575,-0.41167697,0.12822986,-0.36289838,-0.57897985,0.041115448,-0.28994444,-0.034119435,-0.14913991,-0.36109278,-0.42030948,-0.01970673,-0.056714196,-0.91004837,-0.5778855,-0.43776998,-0.2298305,-0.3649625,0.64338076,1.6425096,1.1595697,-0.56918883,1.4616057,-0.4974502,0.5270849,2.2715092,1.6959708,0.82697356,-0.18939695,-0.13702776,-0.5387845,0.037382554,0.08518191,-0.2822455,0.34802973,0.29934773,-0.0819111,0.298526,-0.38639584,-0.27354032,-0.14233403,-0.57457,-0.36348337,-0.37613928,-0.6812153,-0.031740967,-0.7195292,-0.38732368,1.4640386,0.8796961,-0.7848655,0.93105423,-0.5780022,-0.5210577,0.24592309,0.95766014,-0.31276605,-0.47763062,-0.51972765,-0.29155576,-0.55241674,-0.39630905,0.96480805,-0.14444703,0.78246635,-0.349829,0.47788215,-0.15996385,1.1015732,1.4830124,-0.40184125,0.81962615,1.4902153,0.00027739396,-0.77319854
15,compiler.arraycopy.TestArrayCopyNoInit,0.3436748,0.50213987,1.1917019,0.07541372,-0.0012209227,-0.65815103,-0.40755236,-0.36021712,-0.502247,-0.1964894,-0.5317774,-0.53503484,1.0013415,-0.1979055,-0.65333873,0.9610693,-0.5361956,0.52778214,-0.25318468,0.50492334,2.2139292,-0.44631594,-0.56387526,-0.7373467,0.32055548,-0.46096814,-0.32278058,0.2072134,-0.45822445,-0.65419114,-0.12982981,-0.47422028,-0.20086913,-0.1916518,-0.50747246,-0.54075336,-0.035729565,-0.2253107,-0.97802377,-0.8061881,-0.47853348,-0.35771596,-0.44787496,1.1673336,1.3141055,0.6504061,-0.5839907,1.6017768,-0.41395566,0.5030112,1.8970134,1.142041,1.0085322,-0.21778022,-0.15708195,-0.67198056,0.028752314,0.15292655,-0.3526349,0.41856968,0.36875376,0.08505453,0.049700998,-0.22649923,-0.37646937,0.03360788,-0.59905154,-0.45781088,-0.4377844,-0.8003657,0.33379018,-0.8241019,-0.46882606,0.7342507,0.8009862,-0.59957904,0.9877656,-0.7108826,-0.56620055,0.299186,1.016187,-0.45204294,-0.53738236,-0.5107124,-0.29588562,-0.6874322,-0.42235488,0.66192627,0.08521299,0.56070244,-0.4216993,0.55743223,0.003478985,0.69674283,1.8675923,-0.50439256,0.73774135,1.1141951,-0.062397353,-0.8205856
16,jit.FloatingPoint.gen_math.Loops03.Loops03,1.6191297,0.7818037,0.40584052,-0.28654253,-0.11988691,-0.7533621,-0.9661828,-0.53438395,-0.5720331,0.39777496,-0.47970924,-0.6083801,0.6094781,-0.18067063,-0.59564006,0.14496563,-0.1378892,1.3862187,-0.05157984,1.0150217,1.6052231,-0.51405716,-0.6493303,-0.7127786,0.9641926,-0.61023694,-0.38909003,-0.0007472087,-0.33705926,-0.6747278,0.6268692,-0.18985929,0.047172412,-0.394645,-0.3661238,-0.42964393,0.16279203,-0.08278189,-0.90337354,-0.7173354,-0.49475878,-0.38430852,-0.3576438,0.72080636,1.9980632,1.4673002,-0.5329199,1.113221,-0.67152035,0.6544214,2.1652355,2.2596726,0.5517588,-0.30102986,-0.3815402,-0.62044805,-0.18515123,0.10041442,-0.39061716,0.2568244,0.12453113,-0.20404395,0.6150263,-0.43023154,-0.17894876,-0.4081305,-0.66397464,-0.41932833,-0.40447217,-0.72212535,-0.014061199,-0.81513923,-0.27267677,1.6085049,0.8110245,-0.46417227,0.9688173,-0.13381238,-0.53805196,0.12631215,1.0951422,-0.32060602,-0.44568965,-0.62693024,-0.57973903,-0.67795813,-0.36093307,1.6401418,-0.097265735,1.1332976,-0.4466632,0.57810587,0.11097293,1.652335,0.92555964,-0.35339862,0.54019785,1.7425991,0.18311447,-0.7771289
17,jit.deoptimization.test05.test05,0.68350697,0.7523319,0.94853216,-0.004564699,-0.04699952,-0.45007917,-0.33516476,-0.43514505,-0.5107708,-0.19343518,-0.48243555,-0.38812536,1.3116249,-0.100127846,-0.65431297,0.568231,-0.19037263,1.0758084,-0.22772378,0.39587504,2.053561,-0.39088994,-0.83068043,-0.71537787,0.7160301,-0.30582824,-0.37157857,0.23612878,-0.4365986,-0.59189725,0.03009963,-0.47552466,-0.17307466,-0.40718293,-0.31253156,-0.3946257,0.085746184,0.24745911,-1.0070578,-0.7962759,-0.39447,-0.21896519,-0.38592657,0.5390006,1.1433102,1.4868466,-0.58662176,1.5571818,-0.1781577,0.6655449,3.4147844,0.9564873,1.177635,-0.10136433,-0.0405692,-0.67417103,-0.098589644,0.020408863,-0.35558873,0.25318807,0.2198239,0.26597184,0.0009834969,-0.5635255,-0.2804419,0.09995837,-0.3589731,-0.30521318,-0.41502613,-0.68164307,0.013237467,-0.85806733,-0.44947442,0.71461207,0.43613955,-0.7798695,0.59656924,-0.7674306,-0.5184626,0.4425115,1.0529269,-0.2768771,-0.5365194,-0.34877628,0.124028206,-0.5959332,-0.38570243,0.60361415,0.4936807,0.5137826,-0.3601015,0.41008928,-0.09492691,0.7227022,1.8278962,-0.39144853,0.6799326,1.1054107,0.009058746,-0.7842836
18,jit.t.t012.t012,0.77909803,0.92474747,0.30746388,-0.24714728,-0.044171315,-0.4430555,-0.7200473,-0.23338214,-0.4253518,0.04204628,-0.4722082,-0.5633327,0.57594097,-0.1663874,-0.6211659,0.22525232,-0.3450134,1.0833511,-0.092023455,1.0864705,1.4645991,-0.45644864,-0.69281375,-0.69857085,0.8427909,-0.34916222,-0.3053922,0.26137155,-0.38599345,-0.7598966,0.14006372,-0.43248254,0.075537905,-0.39186114,-0.49712703,-0.39779016,0.21178532,0.35841593,-1.0060861,-0.7853795,-0.4025709,-0.23619565,-0.3998571,0.39485994,1.8328073,1.2317125,-0.46872136,1.6241269,-0.015040606,0.71705216,2.651443,2.0895898,0.5169543,-0.17898896,-0.40712035,-0.7239945,0.057952918,0.1374088,-0.339745,0.14455083,0.29148787,0.15597022,0.22608653,-0.54322284,-0.28019375,-0.27940384,-0.6654918,-0.48622367,-0.40979314,-0.69770604,-0.14155954,-0.8608683,-0.40599474,1.3917735,0.5386939,-0.69431895,0.99684876,-0.6536647,-0.61344695,0.22854345,1.1356777,-0.32934272,-0.48036173,-0.36887774,-0.13596125,-0.66162837,-0.3526861,1.1111863,0.7168766,0.7418587,-0.40464628,0.63524836,0.15561755,0.43133992,1.4832141,-0.3822003,0.4911108,1.3769315,-0.2587126,-0.49934626
19,jit.FloatingPoint.gen_math.Summ.Summ,1.2773207,0.7017559,0.48907715,-0.22224838,-0.23137996,-0.8202969,-0.92743695,-0.62236524,-0.6210017,0.4184316,-0.5630452,-0.4486397,0.79843366,-0.16988301,-0.6158717,0.13798332,-0.29918787,1.3156815,-0.2593567,0.7815658,2.3132994,-0.5722165,-0.79129213,-0.766475,1.1088568,-0.6675613,-0.41383663,0.54572016,-0.47753054,-0.71701133,0.6241139,0.00094811735,-0.17174251,-0.48526028,-0.41597003,-0.46713728,0.13777727,-0.13070688,-1.0487963,-0.8469767,-0.49298182,-0.40186027,-0.36416885,0.6411625,1.5175015,1.2665533,-0.5490389,0.9306959,-0.70030624,1.0396217,2.68911,1.6036083,0.5510594,-0.32816026,-0.06384418,-0.61437786,-0.33369717,0.1222767,-0.38278404,0.15077949,0.062434025,-0.11164107,0.35258102,-0.55078715,-0.20385987,-0.33423495,-0.61417925,-0.47049448,-0.32664475,-0.7141721,0.10485422,-0.9728384,-0.3113327,1.0732515,0.74507135,-0.37649876,0.58576554,-0.21674621,-0.5874265,0.36045444,0.9702765,-0.37234348,-0.43408537,-0.5613298,-0.5087663,-0.63795155,-0.3802188,1.294348,0.16202873,0.8890537,-0.52742195,0.44768986,0.2788976,1.5153106,1.3021548,-0.40511465,0.6857158,1.364146,0.032972287,-0.850676
